date,symbol,variety,open,high,low,close,settle,pre_settle,volume,open_interest,turnover,source,source_url
2025-10-20,SN2608,SN,279860,281580,279610,281060,280550,282980,24,87,673.342,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251020.dat
2025-10-20,SN2609,SN,280530,281990,279500,281420,280620,283360,6,25,168.377,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251020.dat
2025-10-20,SN2610,SN,,,,281950,281950,282070,0,0,0,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251020.dat
2025-10-21,SN2511,SN,278930,281830,278510,280870,280630,278950,47366,19553,1329273.318,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251021.dat
2025-10-21,SN2512,SN,278780,282280,278780,281290,281110,279380,38716,28200,1088372.747,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251021.dat
2025-10-21,SN2601,SN,278960,282330,278960,281390,281190,279520,5702,10501,160339.834,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251021.dat
2025-10-21,SN2602,SN,279090,282290,278750,281320,281230,279580,1068,3183,30035.822,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251021.dat
2025-10-21,SN2603,SN,280170,281820,280170,281130,281090,279470,343,1837,9641.443,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251021.dat
2025-10-21,SN2604,SN,279950,282000,279950,281540,281150,279690,119,802,3345.693,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251021.dat
2025-10-21,SN2605,SN,280390,282200,280330,281240,281350,279650,38,219,1069.15,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251021.dat
2025-10-21,SN2606,SN,280990,282070,280730,280730,281260,279860,3,89,84.379,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251021.dat
2025-10-21,SN2607,SN,281150,282640,281150,282310,282010,280420,9,28,253.812,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251021.dat
2025-10-21,SN2608,SN,281890,282900,281890,282150,282490,280550,17,87,480.239,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251021.dat
2025-10-21,SN2609,SN,283250,283250,281880,281880,282560,280620,3,25,84.768,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251021.dat
2025-10-21,SN2610,SN,,,,282220,282220,281950,0,0,0,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251021.dat
2025-10-22,SN2511,SN,280650,281950,279690,281680,280940,280630,38638,17330,1085515.072,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251022.dat
2025-10-22,SN2512,SN,282200,282250,280050,282050,281350,281110,37158,30248,1045452.556,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251022.dat
2025-10-22,SN2601,SN,281440,282270,280130,282140,281440,281190,4996,11084,140610.082,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251022.dat
2025-10-22,SN2602,SN,281410,282210,280280,282060,281460,281230,1238,3381,34845.106,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251022.dat
2025-10-22,SN2603,SN,281400,282010,279970,281760,281280,281090,528,1882,14851.695,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251022.dat
2025-10-22,SN2604,SN,281790,282000,280670,281800,281520,281150,101,807,2843.362,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251022.dat
2025-10-22,SN2605,SN,281320,281770,280690,281520,281270,281350,23,213,646.929,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251022.dat
2025-10-22,SN2606,SN,281680,281780,280880,281420,281400,281260,11,88,309.548,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251022.dat
2025-10-22,SN2607,SN,281970,282000,281180,282000,281800,282010,21,25,591.795,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251022.dat
2025-10-22,SN2608,SN,282300,282300,281320,281590,282100,282490,36,61,1015.563,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251022.dat
2025-10-22,SN2609,SN,281860,282190,281860,282190,282000,282560,3,25,84.602,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251022.dat
2025-10-22,SN2610,SN,283880,283880,281960,282130,282590,282220,7,4,197.813,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251022.dat
2025-10-23,SN2511,SN,280770,281540,279440,281230,280460,280940,30865,14931,865648.903,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251023.dat
2025-10-23,SN2512,SN,281430,282000,279830,281650,280890,281350,43378,32025,1218478.36,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251023.dat
2025-10-23,SN2601,SN,281560,282140,279930,281870,281070,281440,4978,11384,139918.293,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251023.dat
2025-10-23,SN2602,SN,281520,282160,280050,281830,281080,281460,1648,3600,46322.377,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251023.dat
2025-10-23,SN2603,SN,280760,281990,279900,281770,281070,281280,568,1920,15964.96,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251023.dat
2025-10-23,SN2604,SN,280200,281950,280000,281950,280690,281520,71,818,1992.935,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251023.dat
2025-10-23,SN2605,SN,280650,281370,280250,281080,280750,281270,15,213,421.137,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251023.dat
2025-10-23,SN2606,SN,280320,281950,280280,281950,280900,281400,12,89,337.089,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251023.dat
2025-10-23,SN2607,SN,281360,281360,280520,280700,280850,281800,6,26,168.514,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251023.dat
2025-10-23,SN2608,SN,280820,281640,280640,281640,281340,282100,7,66,196.943,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251023.dat
2025-10-23,SN2609,SN,,,,282000,282000,282000,0,25,0,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251023.dat
2025-10-23,SN2610,SN,,,,282590,282590,282590,0,4,0,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251023.dat
2025-10-24,SN2511,SN,281300,284310,281190,283810,282940,280460,31927,11641,903373.666,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251024.dat
2025-10-24,SN2512,SN,282530,284780,282020,284300,283460,280890,70781,38076,2006382.472,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251024.dat
2025-10-24,SN2601,SN,281320,284880,281320,284400,283540,281070,9842,12451,279065.342,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251024.dat
2025-10-24,SN2602,SN,282460,284980,282350,284450,283470,281080,1996,3737,56580.783,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251024.dat
2025-10-24,SN2603,SN,282450,284860,282330,284380,283650,281070,825,2006,23401.733,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251024.dat
2025-10-24,SN2604,SN,282500,284500,282200,284080,283520,280690,230,874,6521.017,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251024.dat
2025-10-24,SN2605,SN,283000,284500,282060,284410,283510,280750,81,217,2296.461,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251024.dat
